Tree	Node A-form	Node B-form	Node C-form	Node D-form	Node E-form	Node F-form	Node G-form	Node H-form	Node I-form	Node J-form	Node K-form	Node L-form	Node M-form	Node N-form	Node O-form	Node P-form	Node Q-form	Node R-form	Node S-form	Node T-form	Node U-form	Node V-form	Node W-form	Absolute frequency	Relative frequency	Order	Grew-match query	Grew-match URL	Number of nodes	Head node	MI	MI3	Dice	logDice	t-score	simple-LL
More <advmod specifically	More	specifically																						2	9.4	AB	"pattern {B [form=""specifically""]; A [form=""More""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22specifically%22%5D%3B%20A%20%5Bform%3D%22More%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	specifically	12.37	14.37	0.22	11.83	1.41	10.90
More >fixed than	More	than																						2	9.4	AB	"pattern {A [form=""More""]; B [form=""than""]; A -[fixed]-> B; A << B} without {A -> X0} without {B -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BA%20%5Bform%3D%22More%22%5D%3B%20B%20%5Bform%3D%22than%22%5D%3B%20A%20-%5Bfixed%5D-%3E%20B%3B%20A%20%3C%3C%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BB%20-%3E%20X1%7D	2	More	7.99	9.99	0.02	8.24	1.41	5.63
Once <advmod again	Once	again																						2	9.4	AB	"pattern {B [form=""again""]; A [form=""Once""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22again%22%5D%3B%20A%20%5Bform%3D%22Once%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	again	8.05	10.05	0.04	9.21	1.41	5.71
So <advmod far	So	far																						2	9.4	AB	"pattern {B [form=""far""]; A [form=""So""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22far%22%5D%3B%20A%20%5Bform%3D%22So%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	far	4.57	6.57	0.01	7.58	1.35	1.67
any <advmod more	any	more																						2	9.4	AB	"pattern {B [form=""more""]; A [form=""any""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22more%22%5D%3B%20A%20%5Bform%3D%22any%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	more	3.14	5.14	0.01	7.10	1.25	0.23
centuries <obl:unmarked ago	centuries	ago																						2	9.4	AB	"pattern {B [form=""ago""]; A [form=""centuries""]; B -[obl:unmarked]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22ago%22%5D%3B%20A%20%5Bform%3D%22centuries%22%5D%3B%20B%20-%5Bobl%3Aunmarked%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	ago	9.71	11.71	0.07	10.17	1.41	7.70
down <advmod there	down	there																						2	9.4	AB	"pattern {B [form=""there""]; A [form=""down""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22there%22%5D%3B%20A%20%5Bform%3D%22down%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	there	2.73	4.73	0.01	6.80	1.20	-0.11
early >obl (in <case the <det game)	early	in	the	game																				2	9.4	ABCD	"pattern {A [form=""early""]; D [form=""game""]; B [form=""in""]; C [form=""the""]; A -[obl]-> D; D -[case]-> B; D -[det]-> C; A << D; D >> B; D >> C} without {A -> X0} without {D -> X1} without {B -> X2} without {C -> X3}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BA%20%5Bform%3D%22early%22%5D%3B%20D%20%5Bform%3D%22game%22%5D%3B%20B%20%5Bform%3D%22in%22%5D%3B%20C%20%5Bform%3D%22the%22%5D%3B%20A%20-%5Bobl%5D-%3E%20D%3B%20D%20-%5Bcase%5D-%3E%20B%3B%20D%20-%5Bdet%5D-%3E%20C%3B%20A%20%3C%3C%20D%3B%20D%20%3E%3E%20B%3B%20D%20%3E%3E%20C%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BD%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D%20without%20%7BC%20-%3E%20X3%7D	4	early	17.94	19.94	0.00	3.40	1.41	17.61
eighth <advmod most	eighth	most																						2	9.4	AB	"pattern {B [form=""most""]; A [form=""eighth""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22most%22%5D%3B%20A%20%5Bform%3D%22eighth%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	most	9.23	11.23	0.02	8.50	1.41	7.12
even <advmod less	even	less																						2	9.4	AB	"pattern {B [form=""less""]; A [form=""even""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22less%22%5D%3B%20A%20%5Bform%3D%22even%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	less	5.66	7.66	0.02	8.28	1.39	2.90
every <det now >conj (and <cc again)	every	now	and	again																				2	9.4	ABCD	"pattern {B [form=""now""]; A [form=""every""]; D [form=""again""]; C [form=""and""]; B -[det]-> A; B -[conj]-> D; D -[cc]-> C; B >> A; B << D; D >> C} without {B -> X0} without {A -> X1} without {D -> X2} without {C -> X3}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22now%22%5D%3B%20A%20%5Bform%3D%22every%22%5D%3B%20D%20%5Bform%3D%22again%22%5D%3B%20C%20%5Bform%3D%22and%22%5D%3B%20B%20-%5Bdet%5D-%3E%20A%3B%20B%20-%5Bconj%5D-%3E%20D%3B%20D%20-%5Bcc%5D-%3E%20C%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20D%3B%20D%20%3E%3E%20C%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D%20without%20%7BD%20-%3E%20X2%7D%20without%20%7BC%20-%3E%20X3%7D	4	now	20.85	22.85	0.00	4.62	1.41	21.10
first >conj (and <cc foremost)	first	and	foremost																					2	9.4	ABC	"pattern {A [form=""first""]; C [form=""foremost""]; B [form=""and""]; A -[conj]-> C; C -[cc]-> B; A << C; C >> B} without {A -> X0} without {C -> X1} without {B -> X2}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BA%20%5Bform%3D%22first%22%5D%3B%20C%20%5Bform%3D%22foremost%22%5D%3B%20B%20%5Bform%3D%22and%22%5D%3B%20A%20-%5Bconj%5D-%3E%20C%3B%20C%20-%5Bcc%5D-%3E%20B%3B%20A%20%3C%3C%20C%3B%20C%20%3E%3E%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BC%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D	3	first	14.97	16.97	0.00	4.23	1.41	14.03
first >obl (of <case all)	first	of	all																					2	9.4	ABC	"pattern {A [form=""first""]; C [form=""all""]; B [form=""of""]; A -[obl]-> C; C -[case]-> B; A << C; C >> B} without {A -> X0} without {C -> X1} without {B -> X2}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BA%20%5Bform%3D%22first%22%5D%3B%20C%20%5Bform%3D%22all%22%5D%3B%20B%20%5Bform%3D%22of%22%5D%3B%20A%20-%5Bobl%5D-%3E%20C%3B%20C%20-%5Bcase%5D-%3E%20B%3B%20A%20%3C%3C%20C%3B%20C%20%3E%3E%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BC%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D	3	first	6.87	8.87	0.00	4.02	1.40	4.31
here >conj (and <cc there)	here	and	there																					2	9.4	ABC	"pattern {A [form=""here""]; C [form=""there""]; B [form=""and""]; A -[conj]-> C; C -[cc]-> B; A << C; C >> B} without {A -> X0} without {C -> X1} without {B -> X2}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BA%20%5Bform%3D%22here%22%5D%3B%20C%20%5Bform%3D%22there%22%5D%3B%20B%20%5Bform%3D%22and%22%5D%3B%20A%20-%5Bconj%5D-%3E%20C%3B%20C%20-%5Bcc%5D-%3E%20B%3B%20A%20%3C%3C%20C%3B%20C%20%3E%3E%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BC%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D	3	here	7.73	9.73	0.00	4.14	1.41	5.33
how <advmod much	how	much																						2	9.4	AB	"pattern {B [form=""much""]; A [form=""how""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22much%22%5D%3B%20A%20%5Bform%3D%22how%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	much	3.73	5.73	0.01	7.50	1.31	0.79
in >fixed between	in	between																						2	9.4	AB	"pattern {A [form=""in""]; B [form=""between""]; A -[fixed]-> B; A << B} without {A -> X0} without {B -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BA%20%5Bform%3D%22in%22%5D%3B%20B%20%5Bform%3D%22between%22%5D%3B%20A%20-%5Bfixed%5D-%3E%20B%3B%20A%20%3C%3C%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BB%20-%3E%20X1%7D	2	in	0.20	2.20	0.00	4.30	0.18	-0.28
more <advmod closely	more	closely																						2	9.4	AB	"pattern {B [form=""closely""]; A [form=""more""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22closely%22%5D%3B%20A%20%5Bform%3D%22more%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	closely	7.00	9.00	0.01	7.58	1.40	4.46
more >conj (and <cc more)	more	and	more																					2	9.4	ABC	"pattern {A [form=""more""]; C [form=""more""]; B [form=""and""]; A -[conj]-> C; C -[cc]-> B; A << C; C >> B} without {A -> X0} without {C -> X1} without {B -> X2}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BA%20%5Bform%3D%22more%22%5D%3B%20C%20%5Bform%3D%22more%22%5D%3B%20B%20%5Bform%3D%22and%22%5D%3B%20A%20-%5Bconj%5D-%3E%20C%3B%20C%20-%5Bcc%5D-%3E%20B%3B%20A%20%3C%3C%20C%3B%20C%20%3E%3E%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BC%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D	3	more	7.37	9.37	0.00	4.13	1.41	4.89
most <advmod commonly	most	commonly																						2	9.4	AB	"pattern {B [form=""commonly""]; A [form=""most""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22commonly%22%5D%3B%20A%20%5Bform%3D%22most%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	commonly	8.42	10.42	0.02	8.48	1.41	6.15
most <advmod probably	most	probably																						2	9.4	AB	"pattern {B [form=""probably""]; A [form=""most""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22probably%22%5D%3B%20A%20%5Bform%3D%22most%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	probably	5.06	7.06	0.02	8.04	1.37	2.21
most <advmod widely	most	widely																						2	9.4	AB	"pattern {B [form=""widely""]; A [form=""most""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22widely%22%5D%3B%20A%20%5Bform%3D%22most%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	widely	7.14	9.14	0.02	8.40	1.40	4.62
no <advmod more	no	more																						2	9.4	AB	"pattern {B [form=""more""]; A [form=""no""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22more%22%5D%3B%20A%20%5Bform%3D%22no%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	more	2.56	4.56	0.01	6.90	1.17	-0.24
north >conj (and <cc south)	north	and	south																					2	9.4	ABC	"pattern {A [form=""north""]; C [form=""south""]; B [form=""and""]; A -[conj]-> C; C -[cc]-> B; A << C; C >> B} without {A -> X0} without {C -> X1} without {B -> X2}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BA%20%5Bform%3D%22north%22%5D%3B%20C%20%5Bform%3D%22south%22%5D%3B%20B%20%5Bform%3D%22and%22%5D%3B%20A%20-%5Bconj%5D-%3E%20C%3B%20C%20-%5Bcc%5D-%3E%20B%3B%20A%20%3C%3C%20C%3B%20C%20%3E%3E%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BC%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D	3	north	14.69	16.69	0.00	4.30	1.41	13.68
not <advmod far	not	far																						2	9.4	AB	"pattern {B [form=""far""]; A [form=""not""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22far%22%5D%3B%20A%20%5Bform%3D%22not%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	far	3.16	5.16	0.00	6.35	1.26	0.25
not <advmod surprisingly	not	surprisingly																						2	9.4	AB	"pattern {B [form=""surprisingly""]; A [form=""not""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22surprisingly%22%5D%3B%20A%20%5Bform%3D%22not%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	surprisingly	7.57	9.57	0.01	6.46	1.41	5.14
now >conj (and <cc then)	now	and	then																					2	9.4	ABC	"pattern {A [form=""now""]; C [form=""then""]; B [form=""and""]; A -[conj]-> C; C -[cc]-> B; A << C; C >> B} without {A -> X0} without {C -> X1} without {B -> X2}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BA%20%5Bform%3D%22now%22%5D%3B%20C%20%5Bform%3D%22then%22%5D%3B%20B%20%5Bform%3D%22and%22%5D%3B%20A%20-%5Bconj%5D-%3E%20C%3B%20C%20-%5Bcc%5D-%3E%20B%3B%20A%20%3C%3C%20C%3B%20C%20%3E%3E%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BC%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D	3	now	8.17	10.17	0.00	4.17	1.41	5.85
pretty <advmod well	pretty	well																						2	9.4	AB	"pattern {B [form=""well""]; A [form=""pretty""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22well%22%5D%3B%20A%20%5Bform%3D%22pretty%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	well	5.69	7.69	0.02	8.19	1.39	2.92
right <advmod in	right	in																						2	9.4	AB	"pattern {B [form=""in""]; A [form=""right""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22in%22%5D%3B%20A%20%5Bform%3D%22right%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	in	-0.10	1.90	0.00	4.29	-0.11	0.17
so <advmod long	so	long																						2	9.4	AB	"pattern {B [form=""long""]; A [form=""so""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22long%22%5D%3B%20A%20%5Bform%3D%22so%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	long	2.84	4.84	0.01	6.78	1.22	-0.02
so <advmod often	so	often																						2	9.4	AB	"pattern {B [form=""often""]; A [form=""so""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22often%22%5D%3B%20A%20%5Bform%3D%22so%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	often	3.79	5.79	0.01	6.93	1.31	0.85
soon <advmod afterward	soon	afterward																						2	9.4	AB	"pattern {B [form=""afterward""]; A [form=""soon""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22afterward%22%5D%3B%20A%20%5Bform%3D%22soon%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	afterward	13.17	15.17	0.16	11.36	1.41	11.86
south >obl (of <case Tehran)	south	of	Tehran																					2	9.4	ABC	"pattern {A [form=""south""]; C [form=""Tehran""]; B [form=""of""]; A -[obl]-> C; C -[case]-> B; A << C; C >> B} without {A -> X0} without {C -> X1} without {B -> X2}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BA%20%5Bform%3D%22south%22%5D%3B%20C%20%5Bform%3D%22Tehran%22%5D%3B%20B%20%5Bform%3D%22of%22%5D%3B%20A%20-%5Bobl%5D-%3E%20C%3B%20C%20-%5Bcase%5D-%3E%20B%3B%20A%20%3C%3C%20C%3B%20C%20%3E%3E%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BC%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D	3	south	17.53	19.53	0.00	4.22	1.41	17.11
that <advmod long	that	long																						2	9.4	AB	"pattern {B [form=""long""]; A [form=""that""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22long%22%5D%3B%20A%20%5Bform%3D%22that%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	long	0.57	2.57	0.00	4.77	0.46	-0.62
that <advmod much	that	much																						2	9.4	AB	"pattern {B [form=""much""]; A [form=""that""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22much%22%5D%3B%20A%20%5Bform%3D%22that%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	much	0.30	2.30	0.00	4.76	0.26	-0.39
the <det longest	the	longest																						2	9.4	AB	"pattern {B [form=""longest""]; A [form=""the""]; B -[det]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22longest%22%5D%3B%20A%20%5Bform%3D%22the%22%5D%3B%20B%20-%5Bdet%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	longest	2.73	4.73	0.00	2.85	1.20	-0.11
very <advmod fast	very	fast																						2	9.4	AB	"pattern {B [form=""fast""]; A [form=""very""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22fast%22%5D%3B%20A%20%5Bform%3D%22very%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	fast	7.42	9.42	0.02	8.33	1.41	4.96
very <advmod loudly	very	loudly																						2	9.4	AB	"pattern {B [form=""loudly""]; A [form=""very""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22loudly%22%5D%3B%20A%20%5Bform%3D%22very%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	loudly	10.12	12.12	0.02	8.42	1.41	8.19
very <advmod nicely	very	nicely																						2	9.4	AB	"pattern {B [form=""nicely""]; A [form=""very""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22nicely%22%5D%3B%20A%20%5Bform%3D%22very%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	nicely	8.54	10.54	0.02	8.39	1.41	6.29
very <advmod often	very	often																						2	9.4	AB	"pattern {B [form=""often""]; A [form=""very""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22often%22%5D%3B%20A%20%5Bform%3D%22very%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	often	5.10	7.10	0.02	8.01	1.37	2.26
very <advmod strongly	very	strongly																						2	9.4	AB	"pattern {B [form=""strongly""]; A [form=""very""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22strongly%22%5D%3B%20A%20%5Bform%3D%22very%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	strongly	7.54	9.54	0.02	8.34	1.41	5.10
very <advmod well	very	well																						2	9.4	AB	"pattern {B [form=""well""]; A [form=""very""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22well%22%5D%3B%20A%20%5Bform%3D%22very%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	well	3.64	5.64	0.01	7.47	1.30	0.70
wherever >advcl:relcl possible	wherever	possible																						2	9.4	AB	"pattern {A [form=""wherever""]; B [form=""possible""]; A -[advcl:relcl]-> B; A << B} without {A -> X0} without {B -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BA%20%5Bform%3D%22wherever%22%5D%3B%20B%20%5Bform%3D%22possible%22%5D%3B%20A%20-%5Badvcl%3Arelcl%5D-%3E%20B%3B%20A%20%3C%3C%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BB%20-%3E%20X1%7D	2	wherever	11.41	13.41	0.07	10.22	1.41	9.74
yet <advmod again	yet	again																						2	9.4	AB	"pattern {B [form=""again""]; A [form=""yet""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22again%22%5D%3B%20A%20%5Bform%3D%22yet%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	again	6.78	8.78	0.03	8.92	1.40	4.20
